Partition,Algorithm,User,TestTime,NAttempted,NGood,Coverage,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
1,ii,320,0.358,5,5,1.0,0.9665749510158755,12.565748688506009,0.0,0.0,,0.0
1,ii,1387,0.389,5,5,1.0,0.9921930758985826,13.215622090756977,0.0,0.0,,0.0
1,ii,1835,0.332,5,5,1.0,0.992039137018908,16.31574868850601,0.08215584544291259,0.07692307692307693,13,0.07692307692307693
1,ii,2988,0.40800000000000003,5,5,1.0,0.9541119256645895,12.23134016304077,0.0,0.0,,0.0
1,ii,4347,0.47500000000000003,5,5,1.0,0.94061565337412,10.41587528625504,0.17093015788272686,0.3333333333333333,3,0.3333333333333333
1,ii,5063,0.392,5,5,1.0,0.9927089361528806,9.43867750007543,0.0,0.0,,0.0
1,ii,7880,0.397,5,5,1.0,1.0,13.635072130432615,0.0,0.0,,0.0
1,ii,8335,0.169,5,5,1.0,0.9839032515546107,15.281086967542706,0.08699911184325698,0.07692307692307693,13,0.07692307692307693
1,ii,9197,0.41600000000000004,5,5,1.0,0.8897030412227469,9.184818934934551,0.0,0.0,,0.0
1,ii,10164,0.433,5,5,1.0,1.0,15.2464252465794,0.10931524207883357,0.125,8,0.125
1,ii,10514,0.41200000000000003,5,5,1.0,0.9875737358008232,14.66587528625504,0.08074270675213659,0.05555555555555555,18,0.05555555555555555
1,ii,10573,0.34500000000000003,5,5,1.0,1.0,14.531086967542706,0.09805383118376834,0.14285714285714285,7,0.14285714285714285
1,ii,11513,0.419,5,5,1.0,0.9538374233639428,12.40015721397125,0.0,0.0,,0.0
1,ii,12014,0.20500000000000002,5,5,1.0,0.9560563328035095,12.896298648830369,0.0,0.0,,0.0
1,ii,12649,0.374,5,5,1.0,1.0,13.10426897461019,0.0,0.0,,0.0
1,ii,12882,0.301,5,5,1.0,0.9847903667562665,13.465622090756977,0.0,0.0,,0.0
1,ii,13565,0.393,5,5,1.0,1.0,13.815748688506009,0.0,0.0,,0.0
1,ii,13665,0.315,5,5,1.0,1.0,11.123212623289701,0.0,0.0,,0.0
