Partition,Algorithm,BlendWeight,User,TestTime,NAttempted,NGood,Coverage,RMSE,Predict.nDCG,Predict.nDCG.Raw,TopN.nDCG,AvgPrec,Rank,RecipRank
5,lucene,,370,7.963,5,5,1.0,0.5961688259009109,0.9851295720965634,16.56189012336513,0.0,0.0,,0.0
5,lucene,,910,1.057,5,5,1.0,0.5462211407731823,0.9793440298552835,13.4964252465794,0.0,0.0,,0.0
5,lucene,,975,0.659,5,5,1.0,0.4336583954658378,0.9946711300744834,12.219480655897856,0.0,0.0,,0.0
5,lucene,,1015,0.31,5,5,1.0,0.8235631480175595,0.979538163945184,13.81189012336513,0.0,0.0,,0.0
5,lucene,,3029,0.358,5,5,1.0,0.7000730766641856,0.9181015812188317,9.184818934934551,0.0,0.0,,0.0
5,lucene,,7541,0.117,5,5,1.0,0.4972102169394691,0.9734735694957938,15.946678442077467,0.0,0.0,,0.0
5,lucene,,8527,0.1,5,4,0.8,0.5392593047182234,0.9237591201935975,15.654648767857287,0.0,0.0,,0.0
5,lucene,,8932,0.216,5,5,1.0,0.8805245690275051,0.988220567325965,15.48134016304077,0.0,0.0,,0.0
5,lucene,,9263,0.135,5,5,1.0,0.713304392709704,0.9959009358215654,16.842693279187557,0.0,0.0,,0.0
5,lucene,,11081,0.165,5,5,1.0,0.2847653672071481,1.0,7.758000942002036,0.0,0.0,,0.0
5,lucene,,11513,0.145,5,5,1.0,0.7798067854413989,0.9366624186138395,13.877355000150859,0.0,0.0,,0.0
5,lucene,,11843,0.155,5,5,1.0,0.9666867818904167,0.9942010081976126,11.885072130432615,0.0,0.0,,0.0
5,lucene,,12271,0.133,5,5,1.0,1.0039502157415117,0.955970344404516,12.019860449144952,0.0,0.0,,0.0
5,lucene,,12882,0.109,5,5,1.0,0.3287007305555148,1.0,16.52722840240183,0.0,0.0,,0.0
5,lucene,,12947,0.1,5,5,1.0,0.4678911865340707,0.9935531493733645,15.430960369793672,0.0,0.0,,0.0
5,lucene,,13215,0.154,5,5,1.0,0.6136287667075161,0.9732265720199264,13.41587528625504,0.0,0.0,,0.0
5,lucene,,13665,0.127,5,5,1.0,0.8541178498300892,0.9914512991669996,15.184818934934553,0.0,0.0,,0.0
5,lucene,,13920,0.122,5,5,1.0,1.0724794520865828,0.9631614100644674,15.296172051081339,0.0,0.0,,0.0
5,lucene,,14328,0.123,5,5,1.0,0.4316287893351083,0.9833678029712797,14.781086967542706,0.0,0.0,,0.0
5,lucene,,15415,0.106,5,5,1.0,0.6589870959863421,1.0,13.684818934934553,0.0,0.0,,0.0
5,lucene,,16766,0.128,5,5,1.0,1.241076086764041,0.8737456533249264,11.100410409469312,0.07830292097666736,0.043478260869565216,23,0.043478260869565216
5,lucene,,17709,0.139,5,4,0.8,0.3917178534777907,0.8922843849963459,12.77371901428583,0.0,0.0,,0.0
5,lucene,,18634,0.125,5,5,1.0,0.47195529841105316,0.9844162689785085,13.846551844328435,0.0,0.0,,0.0
